amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,Sharpe_Ratio,Alpha,Maximum_Drawdown,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Score,Fund_Score,Overall_Rank
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,1.36,1.1801011976606492,0.2926358334175106,-0.18188513572116294,8.0,5.0,3.0,15.0,25.0,32.0,100.0,1
120843,Kotak Flexicap Fund - Regular - Growth,15.65,1.45,1.3067439695428409,0.27330465038306057,-0.1297396816518679,11.0,2.0,5.0,22.0,13.0,31.6,98.75,2
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,1.38,1.093698743534631,0.2719535450128533,-0.16217208574644848,10.0,7.0,6.0,17.0,20.0,30.5,95.3125,3
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,1.43,0.9453082575156095,0.3033696538698332,-0.2870600572176455,1.0,14.0,1.0,21.0,36.0,30.25,94.53125,4
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.46,1.4482911703262598,0.2698375144191807,-0.11265729075028275,17.0,1.0,7.0,23.0,8.0,30.0,93.75,5
149324,DSP Small Cap Fund - Regular - Growth,20.08,1.52,0.9497958246616031,0.3005787817097677,-0.31171900300634214,6.0,13.0,2.0,26.5,37.0,27.875,87.109375,6
149323,DSP Midcap Fund - Regular - Growth,17.16,1.61,1.1321218524747243,0.26598577542043045,-0.17248105753451382,9.0,6.0,8.0,38.0,22.0,27.3,85.3125,7
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,0.8,1.0265242847993001,0.2119482701352573,-0.12588275606922517,20.0,10.0,13.0,12.0,12.0,26.9,84.0625,8
119094,Axis Midcap Fund - Regular - Growth,15.18,1.38,0.9982309868636413,0.2607666908004223,-0.20960883862039192,15.0,11.0,9.0,17.0,28.0,26.600000000000005,83.12500000000001,9
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,1.6,1.2349300257743294,0.2827036785246582,-0.1639674294693263,23.0,3.0,4.0,36.5,21.0,24.974999999999998,78.046875,10
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.51,1.0816591793457042,0.21829397904608644,-0.17414075086657232,21.0,8.0,11.0,24.5,23.0,24.525000000000002,76.640625,11
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,1.54,1.2082665673727175,0.23201007160635082,-0.1501238549864533,26.0,4.0,10.0,30.5,17.0,23.924999999999997,74.76562499999999,12
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,1.6,1.0272133278753695,0.21399784776051212,-0.11291596329323073,22.0,9.0,12.0,36.5,9.0,23.375,73.046875,13
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.66,0.9532794968660104,0.1986859936686296,-0.11803493502764295,34.0,12.0,15.0,4.0,11.0,23.1,72.1875,14
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,1.52,0.9262873467360144,0.20873010086942337,-0.1527259422823477,19.0,15.0,14.0,26.5,19.0,22.875,71.484375,15
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.92,0.7757902498211205,0.17729754927531766,-0.15200013055606398,24.0,18.0,16.0,14.0,18.0,22.2,69.375,16
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,1.53,0.44843400890899127,0.1750072167561127,-0.2334488614483311,5.0,26.0,18.0,28.5,32.0,21.924999999999997,68.51562499999999,17
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,1.41,0.6488787755249532,0.1625385327998104,-0.1982565826298267,18.0,20.0,20.0,19.0,27.0,21.049999999999997,65.78124999999999,18
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.78,0.30061192104254786,0.11989100971217971,-0.21117279560132118,14.0,27.0,26.0,10.0,29.0,20.45,63.90625,19
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,0.72,-0.05718662582817995,0.048824215945539845,-0.5257422117012851,2.0,32.0,36.0,5.5,40.0,20.375,63.671875,20
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.72,0.6452074382933215,0.15643835948169668,-0.18629743138595511,27.0,21.0,22.0,5.5,26.0,19.825,61.953125,21
101207,ABSL Small Cap Fund - Regular - Growth,22.38,1.53,0.16266076928646772,0.10897091901704538,-0.3544691649336603,3.0,28.0,27.0,28.5,38.0,19.625,61.328125,22
118635,Nippon India ETF Nifty 50 BeES,11.77,0.89,0.664856998549062,0.1513635464823924,-0.1165062450540909,32.0,19.0,23.0,13.0,10.0,19.1,59.68750000000001,23
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,1.42,0.7979728586052847,0.17703302365844073,-0.13897862823061635,33.0,17.0,17.0,20.0,14.0,19.05,59.53125,24
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,1.64,0.6195175900829828,0.16211256794033255,-0.21539827112383225,13.0,22.0,21.0,39.5,30.0,18.475,57.73437500000001,25
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,1.57,0.8170993373494367,0.17048756803412696,-0.1085986215250232,30.0,16.0,19.0,34.0,7.0,18.400000000000002,57.50000000000001,26
119095,Axis Small Cap Fund - Regular - Growth,20.98,1.38,-0.0759735711747892,0.04801595363775955,-0.5167775370852656,4.0,33.0,37.0,17.0,39.0,17.7,55.3125,27
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,0.74,0.4957233929533123,0.06746210411099539,-0.0009773140045925555,35.0,23.0,31.0,7.0,1.0,17.4,54.37499999999999,28
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,1.56,0.07599984804658923,0.0780443887615508,-0.24003511326274884,7.0,30.0,29.0,33.0,33.0,17.35,54.21875000000001,29
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,1.54,0.46403744922047774,0.13173190226099432,-0.14844576917771746,25.0,25.0,24.0,30.5,16.0,16.275,50.85937499999999,30
119093,Axis Bluechip Fund - Direct - Growth,12.14,0.75,0.12961449795669328,0.08232801295222093,-0.21751396370148224,29.0,29.0,28.0,8.0,31.0,15.149999999999999,47.34374999999999,31
120844,Kotak Liquid Fund - Regular - Growth,6.18,0.6,-0.08874729621557288,0.06455677495375998,-0.0011629327956168556,37.0,34.0,32.0,3.0,2.0,14.35,44.84375,32
120841,Kotak Bluechip Fund - Regular - Growth,12.25,1.59,0.4942725378672349,0.13042924450705445,-0.1757361416468729,28.0,24.0,25.0,35.0,24.0,13.950000000000003,43.59375000000001,33
102886,UTI Mid Cap Fund - Regular - Growth,15.61,1.51,-0.20583160785470309,0.028969397866379445,-0.2800112356639287,12.0,36.0,40.0,24.5,35.0,13.224999999999998,41.32812499999999,34
